datetime,Factor emision global,APEF,RES-E-RATIO,PVPC
2016-01-03 23:00:00+00:00,0.130522892,1.618724437,0.645009545,39.09
2016-01-04 00:00:00+00:00,0.130495226,1.737052117,0.640759134,32.65
2016-01-04 01:00:00+00:00,0.128950328,1.811042861,0.625969862,28.08
2016-01-04 02:00:00+00:00,0.132258139,1.841037222,0.611975789,25.46
2016-01-04 03:00:00+00:00,0.141501829,1.872493748,0.595972136,24.88
2016-01-04 04:00:00+00:00,0.153712874,1.872225509,0.572853921,22.82
2016-01-04 05:00:00+00:00,0.163141977,1.741005248,0.551867654,25.63
2016-01-04 06:00:00+00:00,0.173807145,1.554213032,0.51201961,36.83
2016-01-04 07:00:00+00:00,0.177328354,1.559292865,0.452421353,47.55
2016-01-04 08:00:00+00:00,0.179004622,1.649934715,0.426265673,54.41
2016-01-04 09:00:00+00:00,0.182014359,1.659497041,0.432577914,54.21
2016-01-04 10:00:00+00:00,0.190690782,1.659266875,0.432425454,56.14
2016-01-04 11:00:00+00:00,0.188247901,1.633299321,0.446148536,54.58
2016-01-04 12:00:00+00:00,0.191294456,1.678257255,0.433428464,119.23
2016-01-04 13:00:00+00:00,0.19138028,1.715066906,0.433675179,122.82
2016-01-04 14:00:00+00:00,0.194760574,1.696040284,0.442520553,123.5
2016-01-04 15:00:00+00:00,0.199911913,1.687986781,0.446049438,122.59
2016-01-04 16:00:00+00:00,0.201271704,1.614734098,0.475685864,121.1
2016-01-04 17:00:00+00:00,0.194145218,1.548776199,0.493472674,123.66
2016-01-04 18:00:00+00:00,0.198705218,1.570227265,0.474125555,124.16
2016-01-04 19:00:00+00:00,0.185988854,1.637340713,0.45905932,122.25
2016-01-04 20:00:00+00:00,0.178778481,1.670705978,0.465897321,122.72
2016-01-04 21:00:00+00:00,0.167563827,1.650283424,0.497583815,125.52
2016-01-04 22:00:00+00:00,0.163664041,1.549015576,0.545547388,56.5
2016-01-04 23:00:00+00:00,0.175653231,1.739291501,0.567282789,40.85
2016-01-05 00:00:00+00:00,0.171335315,1.803659413,0.584973009,42.06
2016-01-05 01:00:00+00:00,0.176966732,1.89032049,0.571934959,39.58
2016-01-05 02:00:00+00:00,0.174570739,1.905775436,0.575167392,29.33
2016-01-05 03:00:00+00:00,0.188652799,1.962445506,0.535797483,29.73
2016-01-05 04:00:00+00:00,0.185102474,1.877391042,0.539386728,29.14
2016-01-05 05:00:00+00:00,0.195017874,1.775915873,0.536355298,33.61
2016-01-05 06:00:00+00:00,0.204055095,1.680497075,0.512925353,41.16
2016-01-05 07:00:00+00:00,0.206746843,1.614254715,0.492185411,48.43
2016-01-05 08:00:00+00:00,0.194212074,1.513380428,0.507120219,57.59
2016-01-05 09:00:00+00:00,0.176796533,1.425042805,0.542736009,53.99
2016-01-05 10:00:00+00:00,0.170078265,1.396157507,0.584338417,53.73
2016-01-05 11:00:00+00:00,0.15770642,1.342114876,0.632900609,53.31
2016-01-05 12:00:00+00:00,0.155198817,1.316989829,0.640058258,116.98
2016-01-05 13:00:00+00:00,0.150174922,1.357410129,0.670670683,118.57
2016-01-05 14:00:00+00:00,0.148536614,1.431110251,0.650705084,116.8
2016-01-05 15:00:00+00:00,0.149654654,1.452778922,0.633384976,115.82
2016-01-05 16:00:00+00:00,0.159237555,1.483936095,0.605691497,116.85
2016-01-05 17:00:00+00:00,0.173841413,1.496769177,0.569760772,119.86
2016-01-05 18:00:00+00:00,0.170018411,1.435222961,0.560148083,124.48
2016-01-05 19:00:00+00:00,0.160412067,1.411219405,0.558624972,125.21
2016-01-05 20:00:00+00:00,0.155351758,1.468043053,0.553295863,121.83
2016-01-05 21:00:00+00:00,0.15362911,1.490029709,0.573139427,119.19
2016-01-05 22:00:00+00:00,0.152906524,1.614692134,0.613493649,50.85
2016-01-05 23:00:00+00:00,0.144975942,1.589048795,0.633090291,49.6
2016-01-06 00:00:00+00:00,0.13358588,1.660164723,0.648090712,35.77
2016-01-06 01:00:00+00:00,0.127711731,1.72586583,0.640952463,28.76
2016-01-06 02:00:00+00:00,0.130351038,1.812081329,0.63231688,24.34
2016-01-06 03:00:00+00:00,0.127590874,1.835744159,0.647039427,24.99
2016-01-06 04:00:00+00:00,0.128781142,1.844943015,0.648113495,24.66
2016-01-06 05:00:00+00:00,0.128982606,1.81289194,0.646707609,24.46
2016-01-06 06:00:00+00:00,0.129081187,1.746934935,0.663834819,24.51
2016-01-06 07:00:00+00:00,0.122200717,1.70723117,0.675150627,29.0
2016-01-06 08:00:00+00:00,0.126119692,1.642327421,0.704761347,28.62
2016-01-06 09:00:00+00:00,0.132198107,1.564832171,0.71600499,32.19
2016-01-06 10:00:00+00:00,0.132833505,1.518741574,0.722271175,31.56
