PBF_datetime_utc,Total generation,Peninsular demand,Total Emisions,AEF,Total PE USE,APEF,RES-E-RATIO,DeltaLoad,DeltaCO2,DeltaPE,TGC,RES,MEFmodel,MPEFmodel
2022-06-01 22:00:00+00:00,23519.3,24472.8,6294.070600000001,0.2571863701742343,44149.08950000002,1.804006468405741,0.2317534480014232,0.0,0.0,0.0,24.4728,0.2317534480014232,0.3718195425184071,1.292892332596666
2022-06-01 23:00:00+00:00,22586.7,23303.0,6036.878100000001,0.2590601253057547,43114.68699999999,1.8501775307900263,0.2332739294010828,-1169.7999999999993,-257.1925000000001,-1034.4025000000256,23.303,0.2332739294010828,0.37666799972420767,1.2397121539999225
2022-06-02 00:00:00+00:00,21975.9,22486.3,5928.459400000001,0.263647616548743,42699.619900000005,1.8989171139760657,0.227935960591133,-816.7000000000007,-108.41870000000108,-415.06709999998566,22.4863,0.227935960591133,0.38301805690012625,1.2031597632578135
2022-06-02 01:00:00+00:00,21415.7,22097.4,5678.2153,0.256963049951578,42077.4835,1.90418255088834,0.2189890710382513,-388.8999999999978,-250.2440999999999,-622.136400000003,22.0974,0.2189890710382513,0.38965084125146976,1.190831690648305
2022-06-02 02:00:00+00:00,20697.1,21955.6,5526.5777,0.2517160861010403,43317.71200000001,1.9729687186868048,0.2103469913757785,-141.8000000000029,-151.63760000000002,1240.2285000000047,21.955599999999997,0.2103469913757785,0.39520884357634045,1.1916744898468465
2022-06-02 03:00:00+00:00,20973.9,22394.3,5726.816200000001,0.2557265107638998,44233.43440000001,1.97520951313504,0.1982801007969515,438.7000000000007,200.2385000000013,915.722400000006,22.394299999999998,0.1982801007969515,0.40016527596130164,1.2287117243597805
2022-06-02 04:00:00+00:00,22138.3,24437.8,6494.137,0.2657414742734616,46994.08350000001,1.9230079426134925,0.1691181923809052,2043.5,767.3207999999995,2760.649099999995,24.4378,0.1691181923809052,0.4035650796130017,1.35044645707457
2022-06-02 05:00:00+00:00,23606.3,26644.1,6973.2669000000005,0.2617189884439707,49125.52090000001,1.8437673218461128,0.1930621613307777,2206.2999999999997,479.1298999999999,2131.4374000000025,26.644099999999998,0.1930621613307777,0.3756507566078483,1.3957817559919614
2022-06-02 06:00:00+00:00,26363.8,28326.6,6925.3143,0.2444809578276249,49115.82470000001,1.7339117543227924,0.2874325817678009,1682.5,-47.95260000000053,-9.696199999998498,28.3266,0.2874325817678009,0.32439042386486544,1.3344711345204037
2022-06-02 07:00:00+00:00,28777.7,29452.6,6702.028400000001,0.2275530309717988,48260.431,1.638579650013921,0.3911233987650907,1126.0,-223.28589999999892,-855.3937000000078,29.452599999999997,0.3911233987650907,0.27914470018393417,1.2254909539056036
2022-06-02 08:00:00+00:00,30187.7,30158.4,6200.1956,0.2055876836967478,45929.10590000001,1.5229291308557489,0.4581451495410743,705.8000000000029,-501.832800000001,-2331.3250999999946,30.1584,0.4581451495410743,0.252814673992919,1.1395612026177728
2022-06-02 09:00:00+00:00,31696.9,30589.4,6075.2626,0.1986067918952316,43990.84700000001,1.4381075470587852,0.4923585811423986,431.0,-124.933,-1938.2589000000007,30.5894,0.4923585811423986,0.24008433774825708,1.0911274531936492
2022-06-02 10:00:00+00:00,32568.8,31097.4,5977.9966,0.1922346112536739,43411.94590000001,1.3959992121527849,0.5165553416869558,508.0,-97.26599999999962,-578.9010999999955,31.0974,0.5165553416869558,0.23119851755117055,1.0544019243789062
2022-06-02 11:00:00+00:00,33015.5,31440.2,5913.5470000000005,0.188088720809664,45416.14839999999,1.4445247930992802,0.5326100264647435,342.7999999999993,-64.44959999999992,2004.2024999999776,31.4402,0.5326100264647435,0.22557834061530369,1.028527219180432
2022-06-02 12:00:00+00:00,33231.0,31052.7,5836.459100000001,0.1879533534926109,45438.2201,1.4632614909492572,0.5403497508235756,-387.5,-77.08789999999954,22.07170000000769,31.0527,0.5403497508235756,0.22347366420714443,1.0177823330451163
2022-06-02 13:00:00+00:00,33100.6,30322.0,5780.669500000002,0.1906427511377878,44425.60030000002,1.4651276399973625,0.5377727562938944,-730.7000000000007,-55.78959999999916,-1012.6197999999786,30.322,0.5377727562938944,0.22472971014579501,1.0211364781714185
2022-06-02 14:00:00+00:00,32346.5,29870.6,5667.286200000001,0.1897278996739269,42165.083000000006,1.411591431039216,0.5259763755071196,-451.4000000000015,-113.38330000000042,-2260.517300000014,29.8706,0.5259763755071196,0.22907464318225862,1.037385754562852
2022-06-02 15:00:00+00:00,31546.9,29863.3,6000.5416000000005,0.2009336409572954,41498.0818,1.38960134345501,0.4952798248670396,-7.299999999999272,333.2553999999991,-667.0012000000061,29.8633,0.4952798248670396,0.24018649831601527,1.0844804950716642
2022-06-02 16:00:00+00:00,31567.9,29025.3,6794.358700000001,0.2340840129128726,43255.69290000001,1.4902754803567926,0.4413059864323402,-838.0,793.8171000000002,1757.6111000000092,29.025299999999998,0.4413059864323402,0.26171312239118244,1.155413571622879
2022-06-02 17:00:00+00:00,30045.1,28982.0,6984.7114,0.2410017045062452,45271.34680000001,1.5620504727071978,0.3817633562300659,-43.29999999999927,190.35269999999943,2015.6538999999973,28.982,0.3817633562300659,0.28453844916932297,1.2335674840909892
2022-06-02 18:00:00+00:00,28276.2,29131.4,7048.874400000001,0.2419682679170929,49439.71900000002,1.6971281503806894,0.3091809514882382,149.40000000000146,64.16300000000047,4168.3722000000125,29.131400000000003,0.3091809514882382,0.31098975828335923,1.3187376992377744
